year,total,white,afam,amin,oth,mult,hisp,asn_paci,poc,white_perc,afam_perc,amin_perc,oth_perc,mult_perc,hisp_perc,asn_paci_perc,poc_perc
2005,288378137,192615561,34364572,2046735,777679,4034425,41870703,12668462,95762576,0.6679270592555357,0.11916496984651788,0.007097400036258643,0.0026967335599369655,0.013990051541251202,0.14519374955251896,0.04393003620798063,0.33207294074446425
2006,299398485,198176991,36434530,2035551,768782,4397722,44252278,13332631,101221494,0.6619171469755433,0.12169243274560992,0.006798801937825437,0.0025677551441183814,0.014688524559501362,0.147803947638546,0.044531390998855586,0.3380828530244567
2007,301621159,198553437,36657280,2019204,715275,4769402,45427437,13479124,103067722,0.658287494346509,0.12153417923840018,0.006694503816292278,0.0023714350888758436,0.01581255776555119,0.15061090923001194,0.04468892051435954,0.341712505653491
2008,304059728,198942886,36701103,1993622,701823,5186219,46891456,13642619,105116842,0.6542888376194298,0.12070359741951753,0.006556678890405374,0.002308174793868131,0.017056579751988727,0.1542179107652165,0.044868220759573925,0.3457111623805702
2009,307006556,199325978,37144530,1975193,676733,5472832,48356760,14054530,107680578,0.6492564217423422,0.12098937066347208,0.006433716027875313,0.002204294946717685,0.017826433647886008,0.15751051257680634,0.04577925039490036,0.3507435782576578
2010,309349689,196929412,37897524,2074523,558211,6108867,50740089,15041063,112420277,0.6365915952157302,0.1225070699844796,0.006706077535445655,0.0018044660132178118,0.019747448331845583,0.16402178765403574,0.048621555265245475,0.3634084047842699
2011,311591919,197084523,38148876,2086995,565213,6441467,51939916,15324929,114507396,0.6325084541104546,0.12243217385878355,0.00669784700032609,0.0018139526911158438,0.020672766548865473,0.16669211501598666,0.04918269077446774,0.36749154588954536
2012,313914040,197243423,38464192,2084472,614725,6672944,52961017,15873267,116670617,0.6283357794382182,0.12253097058035378,0.006640263684924701,0.0019582590189339733,0.0212572333496138,0.16871184544660697,0.05056564848134859,0.37166422056178183
2013,316128839,197392411,38807755,2059457,641423,6917614,53986412,16323767,118736428,0.6244049471234733,0.122759300046017,0.006514612860106699,0.0020289923628258413,0.021882261744554092,0.17077344847997245,0.05163643738305065,0.3755950528765267
2014,318857056,197409353,39267149,2103422,679100,7097378,55279452,17021202,121447703,0.6191155230386371,0.12314969438844722,0.006596755381195014,0.0021297944869691074,0.022258808034657386,0.173367504214804,0.05338192045529016,0.3808844769613629
2015,321418821,197534496,39597600,2069645,699309,7437680,56496122,17583969,123884325,0.6145704081218069,0.12319627045113204,0.006439090883231135,0.0021756939989522267,0.023140150837651165,0.1757710448449439,0.054707340862282614,0.3854295918781931
2016,323127515,197479450,39717127,2125635,758275,7769441,57398719,17878868,125648065,0.6111502141809249,0.12291471681079218,0.006578316303394962,0.002346674191456583,0.024044504535616535,0.17763488510101036,0.05533068887680456,0.3888497858190752
